ScenActID,ActName,ActID,DoRel,DoExp,DidRel,DidExp,Volatile,NW_NS,NW_NWexp,NW_NSxNWexp,NW_Route,ActOrder,ScenarioID
0,Equipment Cleaning Losses of Liquids from Multiple Vessels,27,-1,0,1,0,1,0,0,0,Inhalation and Dermal,1,103
1,Filter Media Changeout,56,-1,0,1,0,1,0,0,0,Inhalation and Dermal,2,103
2,Loading Liquid Product into Drums,5,0,-1,0,1,1,4,38,152,Dermal,3,103
3,Off-Spec Waste ,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,4,103
4,Unloading Solid Raw Material from Transport Containers,18,-1,-1,9,9,1,4,38,152,Inhalation and Dermal,5,103
5,Cleaning Solid/ Powder Residuals from Containers Used to Transport the Raw Material,26,-1,0,9,0,1,0,0,0,Inhalation and Dermal,6,103
0,Unloading Liquid Raw Material from Drums,13,-1,-1,1,1,1,5,38,190,Inhalation and Dermal,1,104
1,Cleaning Liquid Residuals from Drums Used to Transport the Raw Material,21,-1,0,1,0,1,0,0,0,Inhalation and Dermal,2,104
2,Venting During Dispersion and Blending,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,3,104
3,Equipment Cleaning Losses of Liquids from Multiple Vessels,27,-1,0,1,0,1,0,0,0,Inhalation and Dermal,4,104
4,Filter Media Changeout,56,-1,0,1,0,1,0,0,0,Inhalation and Dermal,5,104
5,Loading Liquid Product into Drums,5,-1,0,1,0,1,0,0,0,Inhalation and Dermal,6,104
6,Off-Spec Waste ,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,7,104
7,Coating Product Sampling,56,-1,0,1,0,1,0,0,0,Inhalation and Dermal,8,104
0,Equipment Cleaning Losses of Liquids from Multiple Vessels,27,-1,0,2,0,0,0,0,0,Inhalation and Dermal,1,105
1,Fugitive Air from Compounding,70,-1,0,9,0,0,0,0,0,Inhalation and Dermal,2,105
2,Unloading Liquid Raw Material from Drums,13,0,-1,0,2,0,41,24,984,Dermal,3,105
3,Cleaning Liquid Residuals from Drums Used to Transport the Raw Material,21,-1,0,2,0,0,0,0,0,Inhalation and Dermal,4,105
0,Unloading Solid Raw Material from Transport Containers,18,0,-1,0,9,0,41,24,984,Inhalation and Dermal,1,106
1,Cleaning Solid/ Powder Residuals from Containers Used to Transport the Raw Material,26,-1,0,9,0,0,0,0,0,Inhalation and Dermal,2,106
2,Dust from Compounding,2,-1,0,9,0,0,0,0,0,Inhalation and Dermal,3,106
3,Equipment Cleaning Losses of Liquids from Multiple Vessels,27,-1,-1,2,9,0,41,24,984,Dermal,4,106
4,Fugitive Air from Compounding,70,-1,0,9,0,0,0,0,0,Inhalation and Dermal,5,106
0,Unloading Solid Raw Material from Transport Containers,18,0,-1,0,9,0,63,48,3024,Inhalation,1,107
1,Cleaning Solid/ Powder Residuals from Containers Used to Transport the Raw Material,26,-1,0,9,0,0,0,0,0,Inhalation and Dermal,2,107
2,Dust Generation from Converting Activities,2,-1,0,9,0,0,0,0,0,Inhalation and Dermal,3,107
3,Fugitive Air from Converting Activities,2,-1,0,9,0,0,0,0,0,Inhalation and Dermal,4,107
4,Equipment Cleaning Losses of Liquids from Multiple Vessels,27,-1,0,2,0,0,0,0,0,Inhalation and Dermal,5,107
5,Trimming Waste,2,-1,0,9,0,0,0,0,0,Inhalation and Dermal,6,107
0,Unloading Liquid Raw Material from Adhesive Containers,13,0,0,0,0,1,0,0,0,Inhalation and Dermal,1,108
1,Cleaning Liquid Residuals from Empty Adhesive Containers,21,-1,-1,1,1,1,12,90,1080,Dermal,2,108
2,Equipment Cleaning,28,-1,0,1,0,1,0,0,0,Inhalation and Dermal,3,108
3,Spray Coating Application,88,-1,-1,9,9,1,12,90,1080,Inhalation and Dermal,4,108
4,Evaporative Losses during Curing/Drying,1,0,0,0,0,1,0,0,0,Inhalation and Dermal,5,108
0,Unloading Liquid Raw Material from Adhesive Containers,13,-1,0,1,0,1,0,0,0,Inhalation and Dermal,1,109
1,Cleaning Liquid Residuals from Empty Adhesive Containers,21,-1,-1,1,1,1,12,90,1080,Inhalation and Dermal,2,109
2,Equipment Cleaning,28,-1,0,1,0,1,0,0,0,Inhalation and Dermal,3,109
3,Spray Coating Application,88,-1,-1,9,9,1,12,90,1080,Inhalation and Dermal,4,109
4,Evaporative Losses during Curing/Drying,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,5,109
0,Unloading Liquid Raw Material from Drums,13,0,-1,0,2,0,1,2,2,Dermal,1,110
1,Cleaning Liquid Residuals from Drums Used to Transport the Raw Material,21,-1,0,2,0,0,0,0,0,Inhalation and Dermal,2,110
2,Dragout Losses,1,-1,0,2,0,0,0,0,0,Inhalation and Dermal,3,110
3,Filter Media and Other Recycling Wastes,1,-1,0,2,0,0,0,0,0,Inhalation and Dermal,4,110
4,Spent Metalworking Fluid,1,-1,0,2,0,0,0,0,0,Inhalation and Dermal,5,110
5,Metal Shaping Operations,1,0,-1,0,2,0,1,46,46,Inhalation,6,110
0,Cleaning Liquid Residuals from Empty Photoresist Containers,19,-1,-1,2,2,0,2,18,36,Dermal,1,111
1,Equipment Cleaning,28,-1,0,2,0,0,0,0,0,Inhalation and Dermal,2,111
2,Excess Photoresist Spin-off,1,-1,0,2,0,0,0,0,0,Inhalation and Dermal,3,111
3,Waste Developer Solution,1,-1,0,2,0,0,0,0,0,Inhalation and Dermal,4,111
4,Etching and Stripping,1,-1,0,2,0,0,0,0,0,Inhalation and Dermal,5,111
5,Change-out of Empty Photoresist Containers,1,0,-1,0,2,0,2,48,96,Dermal,6,111
6,Change-out of Excess (Spun-off) Photoresist Collection Containers,1,0,0,0,0,0,0,0,0,Inhalation and Dermal,7,111
7,Change-out of Waste Solvent Collection Containers,1,0,0,0,0,0,0,0,0,Inhalation and Dermal,8,111
0,Disposal of Spent Dyebath,56,-1,0,1,0,0,0,0,0,Inhalation and Dermal,1,112
1,"Equipment Cleaning Losses of Liquids from a Single, Large Vessel",28,-1,0,1,0,0,0,0,0,Inhalation and Dermal,2,112
2,Unloading Liquid Raw Material from Drums,13,0,-1,0,2,0,99,6,594,Dermal,3,112
3,Cleaning Liquid Residuals from Drums Used to Transport the Raw Material,21,-1,0,2,0,0,0,0,0,Inhalation and Dermal,4,112
0,Cleaning Solid/ Powder Residuals from Containers Used to Transport the Raw Material,26,-1,0,9,0,1,0,0,0,Inhalation and Dermal,1,113
1,Unloading Solid Raw Material from Transport Containers,18,-1,-1,9,9,1,66,6,396,Inhalation and Dermal,2,113
2,Disposal of Spent Dyebath,56,-1,-1,1,1,1,66,6,396,Dermal,3,113
3,"Equipment Cleaning Losses of Liquids from a Single, Large Vessel",28,-1,0,1,0,1,0,0,0,Inhalation and Dermal,4,113
