ScenActID,ParmID,ParmValue,ParmType,ScenarioID
5,10,2.26054153e+01,0,98
5,11,1.76948761e+02,0,98
5,12,4.00000024e+03,0,98
5,13,4.70588232e+03,0,98
0,1,2.00000000e+01,0,99
0,2,1.00000000e+00,0,99
0,3,5.50000000e+01,0,99
0,4,1.00000000e+00,0,99
0,5,1.00000000e+00,0,99
0,6,2.08175003e+02,0,99
0,7,1.20091274e-01,0,99
0,8,6.00456360e+02,0,99
0,9,2.50000000e+02,0,99
0,10,2.40182543e+00,0,99
0,11,2.08175003e+02,0,99
0,12,5.00000031e+02,0,99
0,13,5.00000031e+02,0,99
1,1,2.00000000e+01,0,99
1,2,1.00000000e+00,0,99
1,3,5.50000000e+01,0,99
1,4,1.00000000e+00,0,99
1,5,1.00000000e+00,0,99
1,6,2.08175003e+02,0,99
1,7,1.20091274e-01,0,99
1,8,6.00456360e+02,0,99
1,9,2.50000000e+02,0,99
1,8,6.56236420e+01,0,108
1,9,2.60000000e+02,0,108
1,10,2.52398610e-01,0,108
1,11,1.26986755e+02,0,108
1,12,3.20512810e+01,0,108
1,13,5.25430832e+01,0,108
2,2,6.10000014e-01,0,108
2,9,2.60000000e+02,0,108
3,2,6.10000014e-01,0,108
3,9,2.60000000e+02,0,108
4,2,6.10000014e-01,0,108
4,9,2.60000000e+02,0,108
0,1,2.00000000e+01,0,109
0,2,6.10000014e-01,0,109
0,3,5.50000000e+01,0,109
0,4,1.00000000e+00,0,109
0,5,1.00000000e+00,0,109
0,6,2.08175003e+02,0,109
0,7,1.26199303e-02,0,109
0,8,6.56236420e+01,0,109
0,9,2.60000000e+02,0,109
0,10,2.52398610e-01,0,109
0,11,1.26986755e+02,0,109
0,12,3.20512810e+01,0,109
0,13,5.25430832e+01,0,109
1,1,2.00000000e+01,0,109
1,2,6.10000014e-01,0,109
1,3,5.50000000e+01,0,109
1,4,1.00000000e+00,0,109
1,5,1.00000000e+00,0,109
1,6,2.08175003e+02,0,109
1,7,1.26199303e-02,0,109
1,8,6.56236420e+01,0,109
1,9,2.60000000e+02,0,109
1,10,2.52398610e-01,0,109
1,11,1.26986755e+02,0,109
1,12,3.20512810e+01,0,109
1,13,5.25430832e+01,0,109
2,2,6.10000014e-01,0,109
2,9,2.60000000e+02,0,109
3,2,6.10000014e-01,0,109
3,9,2.60000000e+02,0,109
4,2,6.10000014e-01,0,109
4,9,2.60000000e+02,0,109
0,1,2.00000000e+01,0,110
0,2,3.49999994e-01,0,110
0,3,5.50000000e+01,0,110
0,4,1.00000000e+00,0,110
0,5,1.00000000e+00,0,110
0,6,2.08175003e+02,0,110
0,7,2.74216500e-03,0,110
0,8,1.35462952e+01,0,110
0,9,2.47000000e+02,0,110
0,10,5.48432991e-02,0,110
0,11,7.28612518e+01,0,110
0,12,3.99595141e+00,0,110
0,13,1.14170036e+01,0,110
1,1,2.00000000e+01,0,110
1,2,3.49999994e-01,0,110
1,3,5.50000000e+01,0,110
1,4,1.00000000e+00,0,110
1,5,1.00000000e+00,0,110
1,6,2.08175003e+02,0,110
1,7,2.74216500e-03,0,110
1,8,1.35462952e+01,0,110
1,9,2.47000000e+02,0,110
1,10,5.48432991e-02,0,110
1,11,7.28612518e+01,0,110
1,12,3.99595141e+00,0,110
1,13,1.14170036e+01,0,110
2,2,3.49999994e-01,0,110
2,9,2.47000000e+02,0,110
3,2,3.49999994e-01,0,110
3,9,2.47000000e+02,0,110
4,2,3.49999994e-01,0,110
4,9,2.47000000e+02,0,110
5,2,3.49999994e-01,0,110
5,9,2.47000000e+02,0,110
0,1,6.00000000e+01,0,111
0,2,4.00000006e-01,0,111
0,3,1.00000000e+00,0,111
0,4,1.00000000e+00,0,111
0,5,1.00000000e+00,0,111
0,6,3.78500009e+00,0,111
0,7,1.52893975e-01,0,111
0,8,3.30250977e+03,0,111
0,9,3.60000000e+02,0,111
0,10,9.17363834e+00,0,111
0,11,1.51400006e+00,0,111
0,12,1.38888893e+01,0,111
0,13,3.47222214e+01,0,111
1,2,4.00000006e-01,0,111
1,9,3.60000000e+02,0,111
2,2,4.00000006e-01,0,111
2,9,3.60000000e+02,0,111
3,2,4.00000006e-01,0,111
3,9,3.60000000e+02,0,111
4,2,4.00000006e-01,0,111
4,9,3.60000000e+02,0,111
5,2,4.00000006e-01,0,111
5,9,3.60000000e+02,0,111
6,2,4.00000006e-01,0,111
6,9,3.60000000e+02,0,111
7,2,4.00000006e-01,0,111
7,9,3.60000000e+02,0,111
